tier,rank,leaguePoints,wins,losses,veteran,inactive,freshBlood,wins_SD,losses_SD
PLATINUM,I,72,106,109,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,8,31,27,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,24,15,14,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,53,7,12,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,14,2,4,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,99,109,107,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,27,8,7,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,17,28,15,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,38,63,44,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,25,65,76,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,32,27,26,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,75,21,31,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,59,126,109,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,80,7,6,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,54,49,24,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,63,10,2,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,74,41,26,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,48,229,239,False,False,False,Between 1 SD and Mean/34%,Between 1 SD and Mean/34%
PLATINUM,I,34,93,82,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,5,219,229,False,False,True,Between 1 SD and Mean/34%,Between 1 SD and Mean/34%
PLATINUM,I,97,89,83,False,False,True,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
PLATINUM,I,19,55,44,False,False,False,Between Mean and -1 SD/34%,Between Mean and -1 SD/34%
